q	r	ANI	n1	n2
barcode01.fasta	barcode33.fasta	97.3733	1536	1647
barcode01.fasta	barcode12.fasta	97.3732	1541	1647
barcode01.fasta	barcode27.fasta	97.3714	1537	1647
barcode01.fasta	barcode94.fasta	97.3662	1531	1647
barcode01.fasta	barcode68.fasta	97.3629	1535	1647
barcode01.fasta	barcode18.fasta	97.3626	1532	1647
barcode01.fasta	barcode35.fasta	97.3582	1527	1647
barcode01.fasta	barcode73.fasta	97.3577	1542	1647
barcode01.fasta	barcode80.fasta	97.3556	1529	1647
barcode01.fasta	barcode67.fasta	97.3507	1535	1647
barcode01.fasta	barcode82.fasta	97.3438	1521	1647
barcode01.fasta	barcode76.fasta	97.34	1533	1647
barcode01.fasta	barcode75.fasta	97.3389	1547	1647
barcode01.fasta	barcode13.fasta	97.3387	1525	1647
barcode01.fasta	barcode26.fasta	97.3354	1540	1647
barcode01.fasta	barcode21.fasta	97.3336	1538	1647
barcode01.fasta	barcode24.fasta	97.3323	1534	1647
barcode01.fasta	barcode10.fasta	97.3283	1541	1647
barcode01.fasta	barcode39.fasta	97.3245	1549	1647
barcode01.fasta	barcode06.fasta	97.3184	1540	1647
barcode01.fasta	barcode29.fasta	97.3173	1542	1647
barcode01.fasta	barcode19.fasta	97.3157	1534	1647
barcode01.fasta	barcode05.fasta	97.3113	1521	1647
barcode01.fasta	barcode86.fasta	97.3108	1546	1647
barcode01.fasta	barcode30.fasta	97.3105	1544	1647
barcode01.fasta	barcode23.fasta	97.3074	1532	1647
barcode01.fasta	barcode25.fasta	97.3052	1532	1647
barcode01.fasta	barcode74.fasta	97.3045	1527	1647
barcode01.fasta	barcode07.fasta	97.3025	1552	1647
barcode01.fasta	barcode38.fasta	97.3003	1525	1647
barcode01.fasta	barcode77.fasta	97.2923	1536	1647
barcode01.fasta	barcode79.fasta	97.2854	1522	1647
barcode01.fasta	barcode88.fasta	97.2737	1548	1647
barcode01.fasta	barcode40.fasta	97.2714	1537	1647
barcode01.fasta	barcode16.fasta	97.2476	1535	1647
barcode01.fasta	barcode09.fasta	97.2388	1546	1647
barcode01.fasta	barcode90.fasta	96.7849	1501	1647
barcode02.fasta	barcode02.fasta	100	1635	1635
barcode02.fasta	barcode70.fasta	99.9869	1635	1635
barcode02.fasta	barcode63.fasta	99.9855	1634	1635
barcode02.fasta	barcode37.fasta	97.8618	1575	1635
barcode02.fasta	barcode64.fasta	97.8597	1565	1635
barcode02.fasta	barcode31.fasta	97.8595	1567	1635
barcode02.fasta	barcode93.fasta	97.8577	1572	1635
barcode02.fasta	barcode53.fasta	97.8375	1579	1635
barcode02.fasta	barcode44.fasta	97.8096	1557	1635
barcode02.fasta	barcode69.fasta	97.8048	1566	1635
barcode02.fasta	barcode96.fasta	97.7853	1564	1635
barcode02.fasta	barcode46.fasta	97.7842	1537	1635
barcode02.fasta	barcode81.fasta	97.7719	1571	1635
barcode02.fasta	barcode14.fasta	97.7687	1568	1635
barcode02.fasta	barcode57.fasta	97.7575	1573	1635
barcode02.fasta	barcode49.fasta	97.7563	1571	1635
barcode02.fasta	barcode47.fasta	97.7529	1565	1635
barcode02.fasta	barcode45.fasta	97.7455	1550	1635
barcode02.fasta	barcode61.fasta	97.7432	1556	1635
barcode02.fasta	barcode62.fasta	97.7362	1569	1635
barcode02.fasta	barcode48.fasta	97.7342	1561	1635
barcode02.fasta	barcode43.fasta	97.7289	1557	1635
barcode02.fasta	barcode36.fasta	97.7252	1561	1635
barcode02.fasta	barcode91.fasta	97.7093	1564	1635
barcode02.fasta	barcode95.fasta	97.6949	1561	1635
barcode02.fasta	barcode54.fasta	97.6946	1564	1635
barcode02.fasta	barcode52.fasta	97.6857	1555	1635
barcode02.fasta	barcode83.fasta	97.6598	1556	1635
barcode02.fasta	barcode66.fasta	97.6553	1550	1635
barcode02.fasta	barcode42.fasta	97.6436	1549	1635
barcode02.fasta	barcode15.fasta	97.6378	1548	1635
barcode02.fasta	barcode04.fasta	97.6332	1558	1635
barcode02.fasta	barcode55.fasta	97.6302	1549	1635
barcode02.fasta	barcode56.fasta	97.628	1548	1635
barcode02.fasta	barcode01.fasta	97.6234	1572	1635
barcode02.fasta	barcode58.fasta	97.6152	1558	1635
barcode02.fasta	barcode59.fasta	97.6059	1549	1635
barcode02.fasta	barcode41.fasta	97.6042	1557	1635
barcode02.fasta	barcode92.fasta	97.6007	1563	1635
barcode02.fasta	barcode60.fasta	97.5969	1554	1635
barcode02.fasta	barcode65.fasta	97.5233	1558	1635
barcode02.fasta	barcode51.fasta	97.4898	1555	1635
barcode02.fasta	barcode32.fasta	97.4858	1557	1635
barcode02.fasta	barcode03.fasta	97.4818	1552	1635
barcode02.fasta	barcode89.fasta	97.4546	1556	1635
barcode02.fasta	barcode12.fasta	97.3693	1538	1635
barcode02.fasta	barcode84.fasta	97.3618	1533	1635
barcode02.fasta	barcode28.fasta	97.361	1532	1635
barcode02.fasta	barcode21.fasta	97.3582	1532	1635
barcode02.fasta	barcode73.fasta	97.356	1529	1635
barcode02.fasta	barcode85.fasta	97.3463	1540	1635
barcode02.fasta	barcode08.fasta	97.3395	1535	1635
barcode02.fasta	barcode18.fasta	97.3384	1541	1635
barcode02.fasta	barcode50.fasta	97.3383	1537	1635
barcode02.fasta	barcode86.fasta	97.3307	1531	1635
barcode02.fasta	barcode34.fasta	97.3249	1542	1635
barcode02.fasta	barcode17.fasta	97.3228	1537	1635
barcode02.fasta	barcode74.fasta	97.3214	1527	1635
barcode02.fasta	barcode30.fasta	97.3143	1534	1635
barcode02.fasta	barcode87.fasta	97.3116	1536	1635
barcode02.fasta	barcode20.fasta	97.3106	1539	1635
barcode02.fasta	barcode11.fasta	97.31	1542	1635
barcode02.fasta	barcode38.fasta	97.3043	1528	1635
barcode02.fasta	barcode72.fasta	97.3035	1535	1635
barcode02.fasta	barcode10.fasta	97.2966	1523	1635
barcode02.fasta	barcode82.fasta	97.2945	1530	1635
barcode02.fasta	barcode78.fasta	97.2927	1536	1635
barcode02.fasta	barcode05.fasta	97.2898	1525	1635
barcode02.fasta	barcode27.fasta	97.2884	1530	1635
barcode02.fasta	barcode71.fasta	97.285	1530	1635
barcode02.fasta	barcode40.fasta	97.2826	1534	1635
barcode02.fasta	barcode09.fasta	97.2729	1528	1635
barcode02.fasta	barcode33.fasta	97.2722	1536	1635
barcode02.fasta	barcode88.fasta	97.269	1539	1635
barcode02.fasta	barcode22.fasta	97.2643	1534	1635
barcode02.fasta	barcode75.fasta	97.2634	1539	1635
barcode02.fasta	barcode06.fasta	97.2618	1531	1635
barcode02.fasta	barcode39.fasta	97.2616	1541	1635
barcode02.fasta	barcode07.fasta	97.2566	1539	1635
barcode02.fasta	barcode25.fasta	97.2538	1529	1635
barcode02.fasta	barcode23.fasta	97.2523	1541	1635
barcode02.fasta	barcode76.fasta	97.2509	1541	1635
barcode02.fasta	barcode19.fasta	97.2409	1535	1635
barcode02.fasta	barcode29.fasta	97.2409	1537	1635
barcode02.fasta	barcode13.fasta	97.2387	1542	1635
barcode02.fasta	barcode67.fasta	97.2379	1537	1635
barcode02.fasta	barcode16.fasta	97.2362	1535	1635
barcode02.fasta	barcode79.fasta	97.2354	1542	1635
barcode02.fasta	barcode94.fasta	97.2348	1541	1635
barcode02.fasta	barcode77.fasta	97.2326	1533	1635
barcode02.fasta	barcode24.fasta	97.2278	1534	1635
barcode02.fasta	barcode68.fasta	97.2255	1539	1635
barcode02.fasta	barcode26.fasta	97.2254	1541	1635
barcode02.fasta	barcode80.fasta	97.223	1538	1635
barcode02.fasta	barcode35.fasta	97.2037	1543	1635
barcode02.fasta	barcode90.fasta	96.7028	1499	1635
barcode03.fasta	barcode03.fasta	100	1640	1642
barcode03.fasta	barcode32.fasta	99.8587	1632	1642
barcode03.fasta	barcode51.fasta	99.8586	1632	1642
barcode03.fasta	barcode89.fasta	99.8455	1635	1642
barcode03.fasta	barcode65.fasta	99.5811	1631	1642
barcode03.fasta	barcode93.fasta	97.5688	1550	1642
barcode03.fasta	barcode53.fasta	97.4861	1550	1642
barcode03.fasta	barcode37.fasta	97.4831	1550	1642
barcode03.fasta	barcode64.fasta	97.4824	1551	1642
barcode03.fasta	barcode31.fasta	97.4822	1558	1642
barcode03.fasta	barcode45.fasta	97.4812	1545	1642
barcode03.fasta	barcode36.fasta	97.4778	1532	1642
barcode03.fasta	barcode46.fasta	97.4545	1525	1642
barcode03.fasta	barcode61.fasta	97.4504	1544	1642
barcode03.fasta	barcode66.fasta	97.448	1550	1642
barcode03.fasta	barcode69.fasta	97.448	1545	1642
barcode03.fasta	barcode62.fasta	97.4387	1546	1642
barcode03.fasta	barcode49.fasta	97.4377	1545	1642
barcode03.fasta	barcode44.fasta	97.4345	1560	1642
barcode03.fasta	barcode81.fasta	97.4341	1557	1642
barcode03.fasta	barcode96.fasta	97.4252	1555	1642
barcode03.fasta	barcode14.fasta	97.4164	1549	1642
barcode03.fasta	barcode57.fasta	97.4117	1553	1642
barcode03.fasta	barcode47.fasta	97.4116	1545	1642
barcode03.fasta	barcode54.fasta	97.4116	1561	1642
barcode03.fasta	barcode91.fasta	97.4038	1571	1642
barcode03.fasta	barcode01.fasta	97.4037	1546	1642
barcode03.fasta	barcode02.fasta	97.3997	1562	1642
barcode03.fasta	barcode48.fasta	97.398	1563	1642
barcode03.fasta	barcode95.fasta	97.3878	1566	1642
barcode03.fasta	barcode52.fasta	97.3867	1545	1642
barcode03.fasta	barcode43.fasta	97.3861	1563	1642
barcode03.fasta	barcode70.fasta	97.3807	1563	1642
barcode03.fasta	barcode63.fasta	97.379	1565	1642
barcode03.fasta	barcode92.fasta	97.3493	1552	1642
barcode03.fasta	barcode56.fasta	97.3262	1538	1642
barcode03.fasta	barcode15.fasta	97.317	1555	1642
barcode03.fasta	barcode41.fasta	97.3147	1546	1642
barcode03.fasta	barcode59.fasta	97.311	1540	1642
barcode03.fasta	barcode55.fasta	97.3098	1542	1642
barcode03.fasta	barcode83.fasta	97.2886	1550	1642
barcode03.fasta	barcode60.fasta	97.277	1548	1642
barcode03.fasta	barcode67.fasta	97.262	1519	1642
barcode03.fasta	barcode68.fasta	97.2612	1520	1642
barcode03.fasta	barcode42.fasta	97.2602	1548	1642
barcode03.fasta	barcode58.fasta	97.2561	1549	1642
barcode03.fasta	barcode39.fasta	97.2514	1520	1642
barcode03.fasta	barcode75.fasta	97.2449	1523	1642
barcode03.fasta	barcode04.fasta	97.2308	1552	1642
barcode03.fasta	barcode94.fasta	97.214	1526	1642
barcode03.fasta	barcode24.fasta	97.212	1526	1642
barcode03.fasta	barcode05.fasta	97.2073	1531	1642
barcode03.fasta	barcode06.fasta	97.2055	1523	1642
barcode03.fasta	barcode23.fasta	97.2054	1526	1642
barcode03.fasta	barcode13.fasta	97.2038	1524	1642
barcode03.fasta	barcode19.fasta	97.2038	1525	1642
barcode03.fasta	barcode29.fasta	97.1992	1523	1642
barcode03.fasta	barcode76.fasta	97.1942	1529	1642
barcode03.fasta	barcode82.fasta	97.1896	1527	1642
barcode03.fasta	barcode50.fasta	97.1892	1522	1642
barcode03.fasta	barcode18.fasta	97.1866	1528	1642
barcode03.fasta	barcode20.fasta	97.1862	1525	1642
barcode03.fasta	barcode84.fasta	97.1856	1529	1642
barcode03.fasta	barcode17.fasta	97.1848	1524	1642
barcode03.fasta	barcode21.fasta	97.1835	1519	1642
barcode03.fasta	barcode74.fasta	97.1831	1515	1642
barcode03.fasta	barcode25.fasta	97.1831	1522	1642
barcode03.fasta	barcode35.fasta	97.18	1530	1642
barcode03.fasta	barcode77.fasta	97.1782	1535	1642
barcode03.fasta	barcode87.fasta	97.174	1527	1642
barcode03.fasta	barcode11.fasta	97.1726	1522	1642
barcode03.fasta	barcode85.fasta	97.172	1534	1642
barcode03.fasta	barcode72.fasta	97.1638	1529	1642
barcode03.fasta	barcode08.fasta	97.1622	1525	1642
barcode03.fasta	barcode12.fasta	97.1562	1533	1642
barcode03.fasta	barcode27.fasta	97.1556	1527	1642
barcode03.fasta	barcode79.fasta	97.1553	1528	1642
barcode03.fasta	barcode10.fasta	97.1529	1535	1642
barcode03.fasta	barcode16.fasta	97.1509	1522	1642
barcode03.fasta	barcode28.fasta	97.1505	1526	1642
barcode03.fasta	barcode34.fasta	97.1475	1533	1642
barcode03.fasta	barcode38.fasta	97.1462	1533	1642
barcode03.fasta	barcode26.fasta	97.1418	1531	1642
barcode03.fasta	barcode22.fasta	97.141	1526	1642
barcode03.fasta	barcode78.fasta	97.1386	1533	1642
barcode03.fasta	barcode86.fasta	97.1357	1535	1642
barcode03.fasta	barcode71.fasta	97.1182	1531	1642
barcode03.fasta	barcode33.fasta	97.1146	1530	1642
barcode03.fasta	barcode73.fasta	97.1109	1530	1642
barcode03.fasta	barcode07.fasta	97.1054	1526	1642
barcode03.fasta	barcode30.fasta	97.0756	1532	1642
barcode03.fasta	barcode80.fasta	97.0682	1525	1642
barcode03.fasta	barcode09.fasta	97.0602	1521	1642
barcode03.fasta	barcode40.fasta	97.0568	1527	1642
barcode03.fasta	barcode88.fasta	97.0537	1542	1642
barcode03.fasta	barcode90.fasta	96.8946	1516	1642
barcode04.fasta	barcode04.fasta	100	1694	1696
barcode04.fasta	barcode42.fasta	99.9963	1694	1696
barcode04.fasta	barcode41.fasta	98.9244	1604	1696
barcode04.fasta	barcode59.fasta	98.8399	1619	1696
barcode04.fasta	barcode60.fasta	98.8255	1620	1696
barcode04.fasta	barcode92.fasta	98.6258	1590	1696
barcode04.fasta	barcode58.fasta	98.5224	1597	1696
barcode04.fasta	barcode55.fasta	98.4758	1592	1696
barcode04.fasta	barcode83.fasta	98.4502	1586	1696
barcode04.fasta	barcode56.fasta	98.3991	1555	1696
barcode04.fasta	barcode01.fasta	98.3949	1582	1696
barcode04.fasta	barcode15.fasta	98.3328	1575	1696
barcode04.fasta	barcode93.fasta	97.6431	1553	1696
barcode04.fasta	barcode70.fasta	97.6425	1551	1696
barcode04.fasta	barcode63.fasta	97.6371	1555	1696
barcode04.fasta	barcode96.fasta	97.6268	1546	1696
barcode04.fasta	barcode02.fasta	97.6222	1559	1696
barcode04.fasta	barcode14.fasta	97.6155	1548	1696
barcode04.fasta	barcode64.fasta	97.6091	1551	1696
barcode04.fasta	barcode31.fasta	97.609	1555	1696
barcode04.fasta	barcode57.fasta	97.605	1550	1696
barcode04.fasta	barcode44.fasta	97.6033	1553	1696
barcode04.fasta	barcode81.fasta	97.6021	1546	1696
barcode04.fasta	barcode49.fasta	97.5995	1556	1696
barcode04.fasta	barcode62.fasta	97.5928	1556	1696
barcode04.fasta	barcode37.fasta	97.5798	1557	1696
barcode04.fasta	barcode53.fasta	97.5786	1556	1696
barcode04.fasta	barcode52.fasta	97.5782	1543	1696
barcode04.fasta	barcode61.fasta	97.5741	1537	1696
barcode04.fasta	barcode46.fasta	97.5607	1533	1696
barcode04.fasta	barcode48.fasta	97.5458	1550	1696
barcode04.fasta	barcode47.fasta	97.541	1553	1696
barcode04.fasta	barcode45.fasta	97.5331	1542	1696
barcode04.fasta	barcode69.fasta	97.5292	1564	1696
barcode04.fasta	barcode95.fasta	97.5215	1551	1696
barcode04.fasta	barcode43.fasta	97.5099	1552	1696
barcode04.fasta	barcode65.fasta	97.5036	1538	1696
barcode04.fasta	barcode54.fasta	97.4964	1555	1696
barcode04.fasta	barcode91.fasta	97.4916	1556	1696
barcode04.fasta	barcode20.fasta	97.4818	1532	1696
barcode04.fasta	barcode36.fasta	97.4642	1553	1696
barcode04.fasta	barcode66.fasta	97.4512	1545	1696
barcode04.fasta	barcode34.fasta	97.4259	1537	1696
barcode04.fasta	barcode27.fasta	97.4234	1532	1696
barcode04.fasta	barcode72.fasta	97.4121	1532	1696
barcode04.fasta	barcode50.fasta	97.4094	1524	1696
barcode04.fasta	barcode07.fasta	97.4088	1529	1696
barcode04.fasta	barcode22.fasta	97.3981	1530	1696
barcode04.fasta	barcode87.fasta	97.3922	1548	1696
barcode04.fasta	barcode26.fasta	97.3814	1542	1696
barcode04.fasta	barcode21.fasta	97.3801	1529	1696
barcode04.fasta	barcode78.fasta	97.3801	1530	1696
barcode04.fasta	barcode33.fasta	97.3754	1525	1696
barcode04.fasta	barcode11.fasta	97.3752	1540	1696
barcode04.fasta	barcode09.fasta	97.3706	1542	1696
barcode04.fasta	barcode84.fasta	97.3647	1530	1696
barcode04.fasta	barcode85.fasta	97.3508	1544	1696
barcode04.fasta	barcode18.fasta	97.3508	1539	1696
barcode04.fasta	barcode71.fasta	97.3457	1544	1696
barcode04.fasta	barcode51.fasta	97.3449	1540	1696
barcode04.fasta	barcode74.fasta	97.3379	1524	1696
barcode04.fasta	barcode32.fasta	97.3362	1540	1696
barcode04.fasta	barcode40.fasta	97.3327	1549	1696
barcode04.fasta	barcode03.fasta	97.3273	1542	1696
barcode04.fasta	barcode80.fasta	97.3251	1533	1696
barcode04.fasta	barcode28.fasta	97.322	1546	1696
barcode04.fasta	barcode89.fasta	97.3203	1549	1696
barcode04.fasta	barcode05.fasta	97.3181	1535	1696
barcode04.fasta	barcode88.fasta	97.3146	1539	1696
barcode04.fasta	barcode17.fasta	97.3137	1537	1696
barcode04.fasta	barcode38.fasta	97.3095	1526	1696
barcode04.fasta	barcode13.fasta	97.3032	1541	1696
barcode04.fasta	barcode94.fasta	97.2997	1536	1696
barcode04.fasta	barcode79.fasta	97.2947	1532	1696
barcode04.fasta	barcode82.fasta	97.2905	1536	1696
barcode04.fasta	barcode12.fasta	97.2905	1560	1696
barcode04.fasta	barcode73.fasta	97.2902	1551	1696
barcode04.fasta	barcode29.fasta	97.2822	1540	1696
barcode04.fasta	barcode76.fasta	97.2821	1536	1696
barcode04.fasta	barcode39.fasta	97.274	1546	1696
barcode04.fasta	barcode30.fasta	97.2716	1538	1696
barcode04.fasta	barcode19.fasta	97.269	1546	1696
barcode04.fasta	barcode08.fasta	97.269	1550	1696
barcode04.fasta	barcode23.fasta	97.2654	1535	1696
barcode04.fasta	barcode35.fasta	97.2598	1542	1696
barcode04.fasta	barcode86.fasta	97.2574	1544	1696
barcode04.fasta	barcode06.fasta	97.256	1545	1696
barcode04.fasta	barcode75.fasta	97.2549	1547	1696
barcode04.fasta	barcode68.fasta	97.2521	1543	1696
barcode04.fasta	barcode77.fasta	97.2456	1537	1696
barcode04.fasta	barcode24.fasta	97.2383	1544	1696
barcode04.fasta	barcode67.fasta	97.2377	1546	1696
barcode04.fasta	barcode10.fasta	97.2251	1548	1696
barcode04.fasta	barcode25.fasta	97.2044	1553	1696
barcode04.fasta	barcode16.fasta	97.1995	1555	1696
barcode04.fasta	barcode90.fasta	96.712	1501	1696
barcode05.fasta	barcode05.fasta	100	1670	1671
barcode05.fasta	barcode38.fasta	99.9949	1648	1671
barcode05.fasta	barcode79.fasta	99.1913	1623	1671
barcode05.fasta	barcode74.fasta	98.7791	1590	1671
barcode05.fasta	barcode23.fasta	98.5529	1567	1671
barcode05.fasta	barcode68.fasta	98.5346	1580	1671
barcode05.fasta	barcode16.fasta	98.5207	1571	1671
barcode05.fasta	barcode39.fasta	98.5194	1573	1671
barcode05.fasta	barcode76.fasta	98.5175	1571	1671
barcode05.fasta	barcode19.fasta	98.5155	1571	1671
barcode05.fasta	barcode75.fasta	98.5145	1577	1671
barcode05.fasta	barcode25.fasta	98.5105	1572	1671
barcode05.fasta	barcode06.fasta	98.507	1576	1671
barcode05.fasta	barcode94.fasta	98.5067	1570	1671
barcode05.fasta	barcode29.fasta	98.5043	1573	1671
barcode05.fasta	barcode24.fasta	98.5023	1576	1671
barcode05.fasta	barcode77.fasta	98.5016	1576	1671
barcode05.fasta	barcode13.fasta	98.4989	1580	1671
barcode05.fasta	barcode67.fasta	98.497	1584	1671
barcode05.fasta	barcode35.fasta	98.4929	1576	1671
barcode05.fasta	barcode82.fasta	98.4675	1572	1671
barcode05.fasta	barcode20.fasta	98.4239	1549	1671
barcode05.fasta	barcode87.fasta	98.3993	1555	1671
barcode05.fasta	barcode80.fasta	98.3909	1576	1671
barcode05.fasta	barcode71.fasta	98.3859	1553	1671
barcode05.fasta	barcode72.fasta	98.3857	1556	1671
barcode05.fasta	barcode21.fasta	98.3726	1561	1671
barcode05.fasta	barcode73.fasta	98.371	1554	1671
barcode05.fasta	barcode27.fasta	98.3687	1556	1671
barcode05.fasta	barcode07.fasta	98.3564	1559	1671
barcode05.fasta	barcode08.fasta	98.3482	1550	1671
barcode05.fasta	barcode78.fasta	98.3437	1555	1671
barcode05.fasta	barcode11.fasta	98.3414	1554	1671
barcode05.fasta	barcode34.fasta	98.3398	1563	1671
barcode05.fasta	barcode17.fasta	98.3381	1556	1671
barcode05.fasta	barcode26.fasta	98.3335	1556	1671
barcode05.fasta	barcode22.fasta	98.3325	1558	1671
barcode05.fasta	barcode85.fasta	98.3293	1552	1671
barcode05.fasta	barcode30.fasta	98.3237	1561	1671
barcode05.fasta	barcode88.fasta	98.323	1556	1671
barcode05.fasta	barcode50.fasta	98.3111	1560	1671
barcode05.fasta	barcode33.fasta	98.31	1560	1671
barcode05.fasta	barcode86.fasta	98.3032	1558	1671
barcode05.fasta	barcode10.fasta	98.283	1570	1671
barcode05.fasta	barcode12.fasta	98.1959	1575	1671
barcode05.fasta	barcode28.fasta	98.1883	1571	1671
barcode05.fasta	barcode18.fasta	98.1634	1571	1671
barcode05.fasta	barcode84.fasta	98.1581	1571	1671
barcode05.fasta	barcode09.fasta	97.9272	1545	1671
barcode05.fasta	barcode40.fasta	97.8813	1552	1671
barcode05.fasta	barcode04.fasta	97.3623	1530	1671
barcode05.fasta	barcode42.fasta	97.3623	1528	1671
barcode05.fasta	barcode55.fasta	97.3552	1528	1671
barcode05.fasta	barcode45.fasta	97.3465	1526	1671
barcode05.fasta	barcode36.fasta	97.3462	1532	1671
barcode05.fasta	barcode83.fasta	97.3424	1522	1671
barcode05.fasta	barcode63.fasta	97.3347	1532	1671
barcode05.fasta	barcode92.fasta	97.3338	1526	1671
barcode05.fasta	barcode60.fasta	97.3314	1529	1671
barcode05.fasta	barcode02.fasta	97.3269	1538	1671
barcode05.fasta	barcode70.fasta	97.3224	1534	1671
barcode05.fasta	barcode61.fasta	97.3201	1526	1671
barcode05.fasta	barcode01.fasta	97.3191	1528	1671
barcode05.fasta	barcode59.fasta	97.3051	1527	1671
barcode05.fasta	barcode46.fasta	97.3027	1496	1671
barcode05.fasta	barcode93.fasta	97.3012	1535	1671
barcode05.fasta	barcode41.fasta	97.2977	1539	1671
barcode05.fasta	barcode57.fasta	97.2858	1528	1671
barcode05.fasta	barcode62.fasta	97.2833	1529	1671
barcode05.fasta	barcode47.fasta	97.2796	1519	1671
barcode05.fasta	barcode58.fasta	97.2779	1533	1671
barcode05.fasta	barcode81.fasta	97.2722	1528	1671
barcode05.fasta	barcode14.fasta	97.2699	1538	1671
barcode05.fasta	barcode49.fasta	97.2682	1531	1671
barcode05.fasta	barcode56.fasta	97.2676	1520	1671
barcode05.fasta	barcode69.fasta	97.2634	1528	1671
barcode05.fasta	barcode96.fasta	97.2533	1538	1671
barcode05.fasta	barcode91.fasta	97.2526	1505	1671
barcode05.fasta	barcode95.fasta	97.2509	1518	1671
barcode05.fasta	barcode32.fasta	97.2502	1528	1671
barcode05.fasta	barcode31.fasta	97.2447	1537	1671
barcode05.fasta	barcode51.fasta	97.2444	1524	1671
barcode05.fasta	barcode65.fasta	97.2403	1529	1671
barcode05.fasta	barcode53.fasta	97.2329	1527	1671
barcode05.fasta	barcode37.fasta	97.2311	1540	1671
barcode05.fasta	barcode44.fasta	97.2299	1541	1671
barcode05.fasta	barcode52.fasta	97.2282	1530	1671
barcode05.fasta	barcode64.fasta	97.2215	1544	1671
barcode05.fasta	barcode43.fasta	97.221	1520	1671
barcode05.fasta	barcode54.fasta	97.2195	1522	1671
barcode05.fasta	barcode03.fasta	97.2065	1529	1671
barcode05.fasta	barcode15.fasta	97.2054	1534	1671
barcode05.fasta	barcode66.fasta	97.2011	1515	1671
barcode05.fasta	barcode89.fasta	97.1992	1525	1671
barcode05.fasta	barcode48.fasta	97.1968	1525	1671
barcode05.fasta	barcode90.fasta	96.6533	1483	1671
barcode06.fasta	barcode06.fasta	100	1691	1691
barcode06.fasta	barcode23.fasta	99.9928	1687	1691
barcode06.fasta	barcode94.fasta	99.9888	1683	1691
