file                  format  type  num_seqs  sum_len  min_len  avg_len  max_len
NZ_CP020980.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020982.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020984.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020986.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020988.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020990.2         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP020993.2         FASTA   DNA   1         44306    44306    44306    44306
NZ_CP020999.2         FASTA   DNA   1         41743    41743    41743    41743
NZ_CP021002.2         FASTA   DNA   1         44306    44306    44306    44306
NZ_CP021008.2         FASTA   DNA   1         45643    45643    45643    45643
NZ_CP021013.1         FASTA   DNA   1         44306    44306    44306    44306
NZ_CP021017.2         FASTA   DNA   1         56968    56968    56968    56968
NZ_CP021019.2         FASTA   DNA   1         51142    51142    51142    51142
NZ_CP022265.1         FASTA   DNA   1         52486    52486    52486    52486
NZ_CP023156.1         FASTA   DNA   1         92558    92558    92558    92558
NZ_CP023160.1         FASTA   DNA   1         52393    52393    52393    52393
NZ_CP023287.1         FASTA   DNA   1         99153    99153    99153    99153
NZ_CP023295.1         FASTA   DNA   1         42722    42722    42722    42722
NZ_CP024031.1         FASTA   DNA   1         31803    31803    31803    31803
NZ_CP024032.1         FASTA   DNA   1         31799    31799    31799    31799
NZ_CP024080.1         FASTA   DNA   1         47152    47152    47152    47152
NZ_CP029265.1         FASTA   DNA   1         50275    50275    50275    50275
NZ_CP029268.1         FASTA   DNA   1         47735    47735    47735    47735
NZ_CP029272.1         FASTA   DNA   1         49010    49010    49010    49010
NZ_CP029274.1         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP029276.1         FASTA   DNA   1         57069    57069    57069    57069
NZ_CP029278.1         FASTA   DNA   1         58705    58705    58705    58705
NZ_CP029282.1         FASTA   DNA   1         57773    57773    57773    57773
NZ_CP029285.1         FASTA   DNA   1         57691    57691    57691    57691
NZ_CP030165.1         FASTA   DNA   1         157583   157583   157583   157583
NZ_CP031608.1         FASTA   DNA   1         44015    44015    44015    44015
NZ_CP034656.1         FASTA   DNA   1         49434    49434    49434    49434
NZ_CP046021.1         FASTA   DNA   1         43123    43123    43123    43123
NZ_CP046489.1         FASTA   DNA   1         41900    41900    41900    41900
NZ_CP049018.1         FASTA   DNA   1         40955    40955    40955    40955
NZ_CP059993.1         FASTA   DNA   1         99130    99130    99130    99130
NZ_CP060000.1         FASTA   DNA   1         137420   137420   137420   137420
NZ_CP060400.1         FASTA   DNA   1         57250    57250    57250    57250
NZ_CP060448.1         FASTA   DNA   1         56053    56053    56053    56053
NZ_CP060449.1         FASTA   DNA   1         42682    42682    42682    42682
NZ_CP060454.1         FASTA   DNA   1         42682    42682    42682    42682
NZ_CP060459.1         FASTA   DNA   1         56537    56537    56537    56537
NZ_CP060462.1         FASTA   DNA   1         47525    47525    47525    47525
NZ_CP060463.1         FASTA   DNA   1         28106    28106    28106    28106
NZ_CP060467.1         FASTA   DNA   1         47520    47520    47520    47520
NZ_CP060468.1         FASTA   DNA   1         28110    28110    28110    28110
NZ_CP060472.1         FASTA   DNA   1         56563    56563    56563    56563
NZ_CP060473.1         FASTA   DNA   1         42717    42717    42717    42717
NZ_CP062257.2         FASTA   DNA   1         33703    33703    33703    33703
NZ_CP062258.2         FASTA   DNA   1         47086    47086    47086    47086
NZ_CP066345.1         FASTA   DNA   1         52292    52292    52292    52292
NZ_CP066346.1         FASTA   DNA   1         41997    41997    41997    41997
NZ_CP066924.1         FASTA   DNA   1         37325    37325    37325    37325
NZ_CP066927.1         FASTA   DNA   1         50198    50198    50198    50198
NZ_CP066935.1         FASTA   DNA   1         36786    36786    36786    36786
NZ_CP066941.1         FASTA   DNA   1         47266    47266    47266    47266
NZ_CP066946.1         FASTA   DNA   1         65991    65991    65991    65991
NZ_CP066954.1         FASTA   DNA   1         33530    33530    33530    33530
NZ_CP066957.1         FASTA   DNA   1         77746    77746    77746    77746
NZ_CP066960.1         FASTA   DNA   1         78109    78109    78109    78109
NZ_CP066962.1         FASTA   DNA   1         44405    44405    44405    44405
NZ_CP066964.1         FASTA   DNA   1         47082    47082    47082    47082
NZ_CP066965.1         FASTA   DNA   1         35595    35595    35595    35595
NZ_CP066967.1         FASTA   DNA   1         45398    45398    45398    45398
NZ_CP066971.1         FASTA   DNA   1         55622    55622    55622    55622
NZ_CP066974.1         FASTA   DNA   1         38763    38763    38763    38763
NZ_CP066977.1         FASTA   DNA   1         38763    38763    38763    38763
NZ_CP066989.1         FASTA   DNA   1         52592    52592    52592    52592
NZ_CP066991.1         FASTA   DNA   1         52591    52591    52591    52591
NZ_CP066998.1         FASTA   DNA   1         36133    36133    36133    36133
NZ_CP067003.1         FASTA   DNA   1         45818    45818    45818    45818
NZ_CP072269.1         FASTA   DNA   1         28841    28841    28841    28841
NZ_CP072395.1         FASTA   DNA   1         60281    60281    60281    60281
NZ_CP072397.1         FASTA   DNA   1         37832    37832    37832    37832
NZ_CP072989.1         FASTA   DNA   1         36413    36413    36413    36413
NZ_CP073210.1         FASTA   DNA   1         79634    79634    79634    79634
NZ_CP074077.1         FASTA   DNA   1         42144    42144    42144    42144
NZ_CP075327.1         FASTA   DNA   1         34427    34427    34427    34427
NZ_CP075328.1         FASTA   DNA   1         47689    47689    47689    47689
NZ_CP079707.1         FASTA   DNA   1         117931   117931   117931   117931
NZ_CP079708.1         FASTA   DNA   1         53470    53470    53470    53470
NZ_CP082912.1         FASTA   DNA   1         123642   123642   123642   123642
NZ_CP083578.1         FASTA   DNA   1         45604    45604    45604    45604
NZ_CP090562.1         FASTA   DNA   1         51962    51962    51962    51962
NZ_CP090563.1         FASTA   DNA   1         87422    87422    87422    87422
NZ_CP090565.1         FASTA   DNA   1         86622    86622    86622    86622
NZ_CP090566.1         FASTA   DNA   1         89923    89923    89923    89923
NZ_CP090567.1         FASTA   DNA   1         44038    44038    44038    44038
NZ_CP096228.1         FASTA   DNA   1         34102    34102    34102    34102
NZ_CP098605.1         FASTA   DNA   1         93726    93726    93726    93726
NZ_CP101173.1         FASTA   DNA   1         79390    79390    79390    79390
NZ_CP101175.1         FASTA   DNA   1         44697    44697    44697    44697
NZ_CP101177.1         FASTA   DNA   1         53010    53010    53010    53010
NZ_CP107242.1         FASTA   DNA   1         62884    62884    62884    62884
NZ_CP107243.1         FASTA   DNA   1         44032    44032    44032    44032
NZ_CP107718.1         FASTA   DNA   1         40556    40556    40556    40556
NZ_CP110297.1         FASTA   DNA   1         57069    57069    57069    57069
NZ_CP110299.1         FASTA   DNA   1         47146    47146    47146    47146
NZ_CP110300.1         FASTA   DNA   1         57068    57068    57068    57068
NZ_CP110302.1         FASTA   DNA   1         57070    57070    57070    57070
NZ_CP110304.1         FASTA   DNA   1         58785    58785    58785    58785
NZ_CP110307.1         FASTA   DNA   1         67475    67475    67475    67475
NZ_CP110312.1         FASTA   DNA   1         63744    63744    63744    63744
NZ_CP110314.1         FASTA   DNA   1         58786    58786    58786    58786
NZ_CP110316.1         FASTA   DNA   1         57743    57743    57743    57743
NZ_CP115912.1         FASTA   DNA   1         17147    17147    17147    17147
NZ_CP116306.1         FASTA   DNA   1         43915    43915    43915    43915
NZ_CP116307.1         FASTA   DNA   1         56105    56105    56105    56105
NZ_CP116310.1         FASTA   DNA   1         56147    56147    56147    56147
NZ_CP116311.1         FASTA   DNA   1         43921    43921    43921    43921
NZ_CP124532.1         FASTA   DNA   1         38762    38762    38762    38762
NZ_HG531773.1         FASTA   DNA   1         29891    29891    29891    29891
NZ_HG531781.1         FASTA   DNA   1         3265     3265     3265     3265
NZ_HG992339.1         FASTA   DNA   1         24025    24025    24025    24025
NZ_HG992343.1         FASTA   DNA   1         24000    24000    24000    24000
NZ_JAAQOY010000011.1  FASTA   DNA   1         48249    48249    48249    48249
NZ_JAPEIR010000003.1  FASTA   DNA   1         44306    44306    44306    44306
NZ_LAUF01000016.1     FASTA   DNA   1         4434     4434     4434     4434
NZ_LAUH01000215.1     FASTA   DNA   1         7205     7205     7205     7205
NZ_LAUH01000216.1     FASTA   DNA   1         6680     6680     6680     6680
NZ_LAUH01000228.1     FASTA   DNA   1         4128     4128     4128     4128
NZ_LAUH01000371.1     FASTA   DNA   1         34203    34203    34203    34203
NZ_LAUI01000076.1     FASTA   DNA   1         31953    31953    31953    31953
NZ_LAUN01000004.1     FASTA   DNA   1         4731     4731     4731     4731
NZ_LAUP01000099.1     FASTA   DNA   1         641      641      641      641
NZ_LN811400.1         FASTA   DNA   1         45729    45729    45729    45729
NZ_LR828255.1         FASTA   DNA   1         45954    45954    45954    45954
NZ_LR828259.1         FASTA   DNA   1         47063    47063    47063    47063
NZ_LR828260.1         FASTA   DNA   1         41583    41583    41583    41583
NZ_LR828263.1         FASTA   DNA   1         41650    41650    41650    41650
NZ_PEBY01000002.1     FASTA   DNA   1         16241    16241    16241    16241
