sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
barcode10_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc10_00566	bc10_00566	bc10_00566	1	Gao_Ppl__PplA
barcode10_AbiU_2	AbiU	AbiU	bc10_02382	bc10_02382	bc10_02382	1	AbiU__AbiU
barcode10_RM_Type_I_15	RM	RM_Type_I	bc10_01255	bc10_01258	bc10_01255,bc10_01256,bc10_01258	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode10_RM_Type_IIG_16	RM	RM_Type_IIG	bc10_02153	bc10_02153	bc10_02153	1	RM_Type_IIG__Type_IIG
barcode11_SoFic_9	SoFIC	SoFic	bc11_00055	bc11_00055	bc11_00055	1	SoFic__SoFic
barcode11_SoFic_10	SoFIC	SoFic	bc11_00238	bc11_00238	bc11_00238	1	SoFic__SoFic
barcode11_Retron_XII_8	Retron	Retron_XII	bc11_00596	bc11_00596	bc11_00596	1	Retron_XII__RT_12
barcode11_Wadjet_I_6	Wadjet	Wadjet_I	bc11_04238	bc11_04241	bc11_04238,bc11_04240,bc11_04241	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode11_AbiD_1	AbiD	AbiD	bc11_00345	bc11_00345	bc11_00345	1	AbiD__AbiD
barcode11_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc11_00546	bc11_00546	bc11_00546	1	Gao_Ppl__PplA
barcode11_AbiE_2	AbiE	AbiE	bc11_01079	bc11_01080	bc11_01079,bc11_01080	2	AbiEii__AbiEii,AbiEii__AbiEi_3
barcode11_Lamassu-Cap4_nuclease_4	Lamassu-Fam	Lamassu-Cap4_nuclease	bc11_02608	bc11_02610	bc11_02608,bc11_02609,bc11_02610	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
barcode11_Zorya_TypeI_7	Zorya	Zorya_TypeI	bc11_02760	bc11_02763	bc11_02760,bc11_02761,bc11_02762,bc11_02763	4	Zorya_TypeI__ZorD,Zorya_TypeI__ZorC,Zorya__ZorB,Zorya__ZorA
barcode11_RM_Type_I_11	RM	RM_Type_I	bc11_01249	bc11_01254	bc11_01249,bc11_01250,bc11_01254	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode11_RM_Type_I_12	RM	RM_Type_I	bc11_03156	bc11_03159	bc11_03156,bc11_03157,bc11_03159	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode12_AbiD_1	AbiD	AbiD	bc12_00339	bc12_00339	bc12_00339	1	AbiD__AbiD
barcode12_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc12_00543	bc12_00543	bc12_00543	1	Gao_Ppl__PplA
barcode12_Gabija_2	Gabija	Gabija	bc12_02604	bc12_02605	bc12_02604,bc12_02605	2	Gabija__GajA,Gabija__GajB_2
barcode12_Lit_4	Lit	Lit	bc12_02614	bc12_02614	bc12_02614	1	Lit__Lit
barcode12_RloC_5	RloC	RloC	bc12_04044	bc12_04044	bc12_04044	1	RloC__RloC
barcode12_SoFic_12	SoFIC	SoFic	bc12_00233	bc12_00233	bc12_00233	1	SoFic__SoFic
barcode12_Retron_XII_11	Retron	Retron_XII	bc12_00593	bc12_00593	bc12_00593	1	Retron_XII__RT_12
barcode12_CBASS_II_10	CBASS	CBASS_II	bc12_02606	bc12_02608	bc12_02606,bc12_02607,bc12_02608	3	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Sensing_SAVED
barcode12_RM_Type_I_13	RM	RM_Type_I	bc12_01210	bc12_01213	bc12_01210,bc12_01211,bc12_01213	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode12_Wadjet_I_7	Wadjet	Wadjet_I	bc12_04355	bc12_04358	bc12_04355,bc12_04357,bc12_04358	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode13_SoFic_8	SoFIC	SoFic	bc13_00054	bc13_00054	bc13_00054	1	SoFic__SoFic
barcode13_SoFic_9	SoFIC	SoFic	bc13_00222	bc13_00222	bc13_00222	1	SoFic__SoFic
barcode13_Retron_XII_7	Retron	Retron_XII	bc13_00585	bc13_00585	bc13_00585	1	Retron_XII__RT_12
barcode13_pAgo_S1B_10	pAgo	pAgo_S1B	bc13_03081	bc13_03082	bc13_03081,bc13_03082	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode13_Wadjet_I_6	Wadjet	Wadjet_I	bc13_04355	bc13_04358	bc13_04355,bc13_04357,bc13_04358	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode13_AbiD_1	AbiD	AbiD	bc13_00331	bc13_00331	bc13_00331	1	AbiD__AbiD
barcode13_AbiV_2	AbiV	AbiV	bc13_00347	bc13_00347	bc13_00347	1	AbiV__AbiV
barcode13_Gao_Ppl_4	Gao_Ppl	Gao_Ppl	bc13_00532	bc13_00532	bc13_00532	1	Gao_Ppl__PplA
barcode13_Gabija_3	Gabija	Gabija	bc13_02078	bc13_02079	bc13_02078,bc13_02079	2	Gabija__GajA,Gabija__GajB_2
barcode13_RM_Type_I_11	RM	RM_Type_I	bc13_01196	bc13_01199	bc13_01196,bc13_01197,bc13_01199	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode13_RM_Type_IIG_13	RM	RM_Type_IIG	bc13_02111	bc13_02111	bc13_02111	1	RM_Type_IIG__Type_IIG
barcode13_RM_Type_I_12	RM	RM_Type_I	bc13_03252	bc13_03255	bc13_03252,bc13_03255	2	RM__Type_I_REases,RM__Type_I_MTases
barcode14_RM_Type_I_16	RM	RM_Type_I	bc14_03027	bc14_03031	bc14_03027,bc14_03028,bc14_03031	3	RM__Type_I_S,RM__Type_I_MTases,RM__Type_I_REases
barcode14_CapRel_9	CapRel	CapRel	bc14_00473	bc14_00473	bc14_00473	1	CapRel__CapRel
barcode14_Gao_TerY_2	Gao_TerY	Gao_TerY	bc14_01045	bc14_01047	bc14_01045,bc14_01046,bc14_01047	3	Gao_TerY__TerYA,Gao_TerY__TerYB,Gao_TerY__TerYC
barcode14_Gao_Iet_1	Gao_Iet	Gao_Iet	bc14_02232	bc14_02233	bc14_02232,bc14_02233	2	Gao_Iet__IetA,Gao_Iet__IetS
barcode14_Lamassu-Mrr_3	Lamassu-Fam	Lamassu-Mrr	bc14_04160	bc14_04162	bc14_04160,bc14_04161,bc14_04162	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuC_acc_Mrr,Lamassu-Fam__LmuB_SMC_Mrr
barcode14_CAS_Class1-Subtype-I-F_17	CasFinder	CAS_Class1-Subtype-I-F	bc14_00246	bc14_00251	bc14_00246,bc14_00247,bc14_00248,bc14_00249,bc14_00250,bc14_00251	6	cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas5f_I-F_4,cas8f_I-F_8,cas3f_I-F_1,cas1_I-F_1
barcode14_FS_HP_4	FS_HP	FS_HP	bc14_00021	bc14_00021	bc14_00021	1	FS_HP__HP
barcode14_NLR_like_bNACHT01_5	NLR	NLR_like_bNACHT01	bc14_00060	bc14_00060	bc14_00060	1	NLR_like_bNACHT01__NLR_like_bNACHT01
barcode14_Septu_6	Septu	Septu	bc14_01958	bc14_01960	bc14_01958,bc14_01959,bc14_01960	3	Septu__PtuB,Septu__PtuA,Septu__PtuB
barcode14_Wadjet_I_8	Wadjet	Wadjet_I	bc14_04134	bc14_04137	bc14_04134,bc14_04136,bc14_04137	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode14_SoFic_14	SoFIC	SoFic	bc14_00052	bc14_00052	bc14_00052	1	SoFic__SoFic
barcode14_CBASS_I_13	CBASS	CBASS_I	bc14_00122	bc14_00123	bc14_00122,bc14_00123	2	CBASS__Sensing_SAVED,CBASS__Cyclase_II
barcode14_SoFic_15	SoFIC	SoFic	bc14_00222	bc14_00222	bc14_00222	1	SoFic__SoFic
barcode14_BREX_I_11	BREX	BREX_I	bc14_03675	bc14_03681	bc14_03675,bc14_03676,bc14_03679,bc14_03680,bc14_03681	5	BREX__brxL,BREX__pglZA,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819
barcode15_RM_Type_I_8	RM	RM_Type_I	bc15_01103	bc15_01107	bc15_01103,bc15_01106,bc15_01107	3	RM__Type_I_REases,RM__Type_I_MTases,RM__Type_I_S
barcode15_CAS_Class1-Subtype-I-F_9	CasFinder	CAS_Class1-Subtype-I-F	bc15_00259	bc15_00264	bc15_00259,bc15_00260,bc15_00261,bc15_00262,bc15_00263,bc15_00264	6	cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas5f_I-F_4,cas8f_I-F_8,cas3f_I-F_1,cas1_I-F_1
barcode15_Thoeris_I_5	Thoeris	Thoeris_I	bc15_00142	bc15_00143	bc15_00142,bc15_00143	2	Thoeris__ThsB_Global,Thoeris_I__ThsA_new_grand
barcode15_AbiD_1	AbiD	AbiD	bc15_00345	bc15_00345	bc15_00345	1	AbiD__AbiD
barcode15_RloC_2	RloC	RloC	bc15_03272	bc15_03272	bc15_03272	1	RloC__RloC
barcode15_SoFic_6	SoFIC	SoFic	bc15_00056	bc15_00056	bc15_00056	1	SoFic__SoFic
barcode15_SoFic_7	SoFIC	SoFic	bc15_00240	bc15_00240	bc15_00240	1	SoFic__SoFic
barcode15_Wadjet_I_4	Wadjet	Wadjet_I	bc15_04366	bc15_04369	bc15_04366,bc15_04368,bc15_04369	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode16_RM_Type_I_10	RM	RM_Type_I	bc16_01205	bc16_01208	bc16_01205,bc16_01206,bc16_01208	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode16_RM_Type_IIG_12	RM	RM_Type_IIG	bc16_02400	bc16_02400	bc16_02400	1	RM_Type_IIG__Type_IIG
barcode16_RM_Type_I_11	RM	RM_Type_I	bc16_03249	bc16_03252	bc16_03249,bc16_03250,bc16_03252	3	RM__Type_I_REases,RM__Type_I_S,RM__Type_I_MTases
barcode16_AbiV_1	AbiV	AbiV	bc16_00347	bc16_00347	bc16_00347	1	AbiV__AbiV
barcode16_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc16_00531	bc16_00531	bc16_00531	1	Gao_Ppl__PplA
barcode16_Shedu_4	Shedu	Shedu	bc16_01642	bc16_01642	bc16_01642	1	Shedu__SduA
barcode16_Gabija_2	Gabija	Gabija	bc16_02432	bc16_02433	bc16_02432,bc16_02433	2	Gabija__GajB_2,Gabija__GajA
barcode16_Wadjet_I_6	Wadjet	Wadjet_I	bc16_04329	bc16_04332	bc16_04329,bc16_04331,bc16_04332	3	Wadjet__JetC_I,Wadjet__JetB_I,Wadjet__JetA_I
barcode16_SoFic_8	SoFIC	SoFic	bc16_00225	bc16_00225	bc16_00225	1	SoFic__SoFic
barcode16_Retron_XII_7	Retron	Retron_XII	bc16_00581	bc16_00581	bc16_00581	1	Retron_XII__RT_12
barcode16_pAgo_S1B_9	pAgo	pAgo_S1B	bc16_03076	bc16_03077	bc16_03076,bc16_03077	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
barcode17_AbiD_1	AbiD	AbiD	bc17_00329	bc17_00329	bc17_00329	1	AbiD__AbiD
barcode17_Gao_Ppl_3	Gao_Ppl	Gao_Ppl	bc17_00537	bc17_00537	bc17_00537	1	Gao_Ppl__PplA
