Barcode_present	spacer_id	
barcode31	barcode45_contig_1_Unknown_1_48|293143-293174
barcode37	barcode45_contig_1_Unknown_1_48|293143-293174
barcode44	barcode45_contig_1_Unknown_1_48|293143-293174
barcode45	barcode45_contig_1_Unknown_1_48|293143-293174
barcode49	barcode45_contig_1_Unknown_1_48|293143-293174
barcode53	barcode45_contig_1_Unknown_1_48|293143-293174
barcode57	barcode45_contig_1_Unknown_1_48|293143-293174
barcode62	barcode45_contig_1_Unknown_1_48|293143-293174
barcode64	barcode45_contig_1_Unknown_1_48|293143-293174
barcode81	barcode45_contig_1_Unknown_1_48|293143-293174
barcode93	barcode45_contig_1_Unknown_1_48|293143-293174
barcode96	barcode45_contig_1_Unknown_1_48|293143-293174
barcode01	barcode01_contig_1_Unknown_1_22|4597618-4597649
barcode56	barcode01_contig_1_Unknown_1_22|4597618-4597649
barcode83	barcode01_contig_1_Unknown_1_22|4597618-4597649
barcode46	barcode46_contig_1_Unknown_1_68|296392-296423
barcode47	barcode46_contig_1_Unknown_1_68|296392-296423
barcode45	barcode52_contig_1_Unknown_1_19|292377-292409
barcode52	barcode52_contig_1_Unknown_1_19|292377-292409
barcode14	barcode48_contig_3_Unknown_1_2|292375-292406
barcode31	barcode48_contig_3_Unknown_1_2|292375-292406
barcode37	barcode48_contig_3_Unknown_1_2|292375-292406
barcode44	barcode48_contig_3_Unknown_1_2|292375-292406
barcode48	barcode48_contig_3_Unknown_1_2|292375-292406
barcode49	barcode48_contig_3_Unknown_1_2|292375-292406
barcode53	barcode48_contig_3_Unknown_1_2|292375-292406
barcode57	barcode48_contig_3_Unknown_1_2|292375-292406
barcode62	barcode48_contig_3_Unknown_1_2|292375-292406
barcode64	barcode48_contig_3_Unknown_1_2|292375-292406
barcode69	barcode48_contig_3_Unknown_1_2|292375-292406
barcode81	barcode48_contig_3_Unknown_1_2|292375-292406
barcode93	barcode48_contig_3_Unknown_1_2|292375-292406
barcode96	barcode48_contig_3_Unknown_1_2|292375-292406
barcode52	barcode52_contig_1_Unknown_1_53|294418-294449
barcode46	barcode46_contig_1_Unknown_1_65|296211-296242
barcode47	barcode46_contig_1_Unknown_1_65|296211-296242
barcode03	barcode03_contig_1_Unknown_1_97|299123-299155
barcode32	barcode03_contig_1_Unknown_1_97|299123-299155
barcode51	barcode03_contig_1_Unknown_1_97|299123-299155
barcode65	barcode03_contig_1_Unknown_1_97|299123-299155
barcode89	barcode03_contig_1_Unknown_1_97|299123-299155
barcode03	barcode03_contig_1_Unknown_1_75|297803-297834
barcode14	barcode03_contig_1_Unknown_1_75|297803-297834
barcode31	barcode03_contig_1_Unknown_1_75|297803-297834
barcode32	barcode03_contig_1_Unknown_1_75|297803-297834
barcode37	barcode03_contig_1_Unknown_1_75|297803-297834
barcode44	barcode03_contig_1_Unknown_1_75|297803-297834
barcode49	barcode03_contig_1_Unknown_1_75|297803-297834
barcode51	barcode03_contig_1_Unknown_1_75|297803-297834
barcode53	barcode03_contig_1_Unknown_1_75|297803-297834
barcode57	barcode03_contig_1_Unknown_1_75|297803-297834
barcode62	barcode03_contig_1_Unknown_1_75|297803-297834
barcode64	barcode03_contig_1_Unknown_1_75|297803-297834
barcode65	barcode03_contig_1_Unknown_1_75|297803-297834
barcode81	barcode03_contig_1_Unknown_1_75|297803-297834
barcode89	barcode03_contig_1_Unknown_1_75|297803-297834
barcode96	barcode03_contig_1_Unknown_1_75|297803-297834
barcode01	barcode01_contig_1_Unknown_1_6|4596658-4596689
barcode56	barcode01_contig_1_Unknown_1_6|4596658-4596689
barcode83	barcode01_contig_1_Unknown_1_6|4596658-4596689
barcode15	barcode15_contig_1_Unknown_1_18|298434-298464
barcode41	barcode15_contig_1_Unknown_1_18|298434-298464
barcode59	barcode15_contig_1_Unknown_1_18|298434-298464
barcode60	barcode15_contig_1_Unknown_1_18|298434-298464
barcode41	barcode59_contig_1_Unknown_1_24|292065-292096
barcode59	barcode59_contig_1_Unknown_1_24|292065-292096
barcode01	barcode01_contig_1_Unknown_1_10|4596898-4596929
barcode56	barcode01_contig_1_Unknown_1_10|4596898-4596929
barcode83	barcode01_contig_1_Unknown_1_10|4596898-4596929
barcode36	barcode36_contig_1_Unknown_1_67|289227-289258
barcode01	barcode01_contig_1_Unknown_1_98|4602178-4602209
barcode56	barcode01_contig_1_Unknown_1_98|4602178-4602209
barcode83	barcode01_contig_1_Unknown_1_98|4602178-4602209
barcode48	barcode48_contig_3_Unknown_1_21|293515-293546
barcode69	barcode48_contig_3_Unknown_1_21|293515-293546
barcode46	barcode46_contig_1_Unknown_1_43|294891-294922
barcode47	barcode46_contig_1_Unknown_1_43|294891-294922
barcode52	barcode52_contig_1_Unknown_1_83|296217-296248
barcode31	barcode64_contig_1_Unknown_1_134|294871-294902
barcode37	barcode64_contig_1_Unknown_1_134|294871-294902
barcode53	barcode64_contig_1_Unknown_1_134|294871-294902
barcode64	barcode64_contig_1_Unknown_1_134|294871-294902
barcode45	barcode45_contig_1_Unknown_1_96|296022-296053
barcode43	barcode43_contig_1_Unknown_1_75|301147-301178
barcode54	barcode43_contig_1_Unknown_1_75|301147-301178
barcode91	barcode43_contig_1_Unknown_1_75|301147-301178
barcode95	barcode43_contig_1_Unknown_1_75|301147-301178
barcode01	barcode01_contig_1_Unknown_1_95|4601998-4602029
barcode56	barcode01_contig_1_Unknown_1_95|4601998-4602029
barcode83	barcode01_contig_1_Unknown_1_95|4601998-4602029
barcode01	barcode01_contig_1_Unknown_1_25|4597798-4597829
barcode56	barcode01_contig_1_Unknown_1_25|4597798-4597829
barcode83	barcode01_contig_1_Unknown_1_25|4597798-4597829
barcode01	barcode01_contig_1_Unknown_1_49|4599237-4599268
barcode56	barcode01_contig_1_Unknown_1_49|4599237-4599268
barcode83	barcode01_contig_1_Unknown_1_49|4599237-4599268
barcode63	barcode63_contig_1_Unknown_1_95|303420-303451
barcode41	barcode41_contig_1_Unknown_1_34|292724-292755
barcode03	barcode03_contig_1_Unknown_1_48|296180-296211
barcode32	barcode03_contig_1_Unknown_1_48|296180-296211
barcode51	barcode03_contig_1_Unknown_1_48|296180-296211
barcode65	barcode03_contig_1_Unknown_1_48|296180-296211
barcode89	barcode03_contig_1_Unknown_1_48|296180-296211
barcode01	barcode01_contig_1_Unknown_1_90|4601698-4601729
barcode56	barcode01_contig_1_Unknown_1_90|4601698-4601729
barcode83	barcode01_contig_1_Unknown_1_90|4601698-4601729
barcode31	barcode64_contig_1_Unknown_1_113|293610-293641
barcode37	barcode64_contig_1_Unknown_1_113|293610-293641
barcode53	barcode64_contig_1_Unknown_1_113|293610-293641
barcode64	barcode64_contig_1_Unknown_1_113|293610-293641
barcode45	barcode61_contig_1_Unknown_1_44|297136-297167
barcode61	barcode61_contig_1_Unknown_1_44|297136-297167
barcode01	barcode01_contig_1_Unknown_1_37|4598518-4598549
barcode56	barcode01_contig_1_Unknown_1_37|4598518-4598549
barcode83	barcode01_contig_1_Unknown_1_37|4598518-4598549
barcode01	barcode01_contig_1_Unknown_1_79|4601038-4601069
barcode56	barcode01_contig_1_Unknown_1_79|4601038-4601069
barcode83	barcode01_contig_1_Unknown_1_79|4601038-4601069
barcode43	barcode43_contig_1_Unknown_1_33|298626-298657
barcode54	barcode43_contig_1_Unknown_1_33|298626-298657
barcode91	barcode43_contig_1_Unknown_1_33|298626-298657
barcode95	barcode43_contig_1_Unknown_1_33|298626-298657
barcode01	barcode01_contig_1_Unknown_1_12|4597018-4597049
barcode56	barcode01_contig_1_Unknown_1_12|4597018-4597049
barcode83	barcode01_contig_1_Unknown_1_12|4597018-4597049
barcode36	barcode36_contig_1_Unknown_1_62|288927-288958
barcode03	barcode03_contig_1_Unknown_1_55|296601-296632
barcode32	barcode03_contig_1_Unknown_1_55|296601-296632
barcode51	barcode03_contig_1_Unknown_1_55|296601-296632
barcode65	barcode03_contig_1_Unknown_1_55|296601-296632
barcode89	barcode03_contig_1_Unknown_1_55|296601-296632
barcode43	barcode43_contig_1_Unknown_1_80|301447-301478
barcode54	barcode43_contig_1_Unknown_1_80|301447-301478
barcode91	barcode43_contig_1_Unknown_1_80|301447-301478
barcode95	barcode43_contig_1_Unknown_1_80|301447-301478
barcode03	barcode03_contig_1_Unknown_1_64|297142-297174
barcode32	barcode03_contig_1_Unknown_1_64|297142-297174
barcode51	barcode03_contig_1_Unknown_1_64|297142-297174
barcode65	barcode03_contig_1_Unknown_1_64|297142-297174
barcode89	barcode03_contig_1_Unknown_1_64|297142-297174
barcode01	barcode01_contig_1_Unknown_1_13|4597078-4597109
barcode56	barcode01_contig_1_Unknown_1_13|4597078-4597109
barcode83	barcode01_contig_1_Unknown_1_13|4597078-4597109
barcode01	barcode01_contig_1_Unknown_1_81|4601158-4601189
barcode56	barcode01_contig_1_Unknown_1_81|4601158-4601189
barcode83	barcode01_contig_1_Unknown_1_81|4601158-4601189
barcode02	barcode02_contig_1_Unknown_1_49|300654-300685
barcode63	barcode02_contig_1_Unknown_1_49|300654-300685
barcode70	barcode02_contig_1_Unknown_1_49|300654-300685
barcode01	barcode01_contig_1_Unknown_1_35|4598398-4598429
barcode56	barcode01_contig_1_Unknown_1_35|4598398-4598429
barcode83	barcode01_contig_1_Unknown_1_35|4598398-4598429
barcode69	barcode69_contig_1_Unknown_1_49|288545-288576
barcode14	barcode81_contig_1_Unknown_2_18|303128-303159
barcode44	barcode81_contig_1_Unknown_2_18|303128-303159
barcode49	barcode81_contig_1_Unknown_2_18|303128-303159
barcode57	barcode81_contig_1_Unknown_2_18|303128-303159
barcode62	barcode81_contig_1_Unknown_2_18|303128-303159
barcode81	barcode81_contig_1_Unknown_2_18|303128-303159
barcode96	barcode81_contig_1_Unknown_2_18|303128-303159
barcode01	barcode01_contig_1_Unknown_1_65|4600198-4600229
barcode56	barcode01_contig_1_Unknown_1_65|4600198-4600229
barcode83	barcode01_contig_1_Unknown_1_65|4600198-4600229
barcode14	barcode93_contig_2_Unknown_2_4|307415-307446
barcode31	barcode93_contig_2_Unknown_2_4|307415-307446
barcode37	barcode93_contig_2_Unknown_2_4|307415-307446
barcode44	barcode93_contig_2_Unknown_2_4|307415-307446
barcode49	barcode93_contig_2_Unknown_2_4|307415-307446
barcode53	barcode93_contig_2_Unknown_2_4|307415-307446
barcode57	barcode93_contig_2_Unknown_2_4|307415-307446
barcode62	barcode93_contig_2_Unknown_2_4|307415-307446
barcode64	barcode93_contig_2_Unknown_2_4|307415-307446
barcode81	barcode93_contig_2_Unknown_2_4|307415-307446
barcode93	barcode93_contig_2_Unknown_2_4|307415-307446
barcode96	barcode93_contig_2_Unknown_2_4|307415-307446
barcode48	barcode48_contig_3_Unknown_1_28|293935-293966
barcode69	barcode48_contig_3_Unknown_1_28|293935-293966
barcode03	barcode03_contig_1_Unknown_1_96|299063-299094
barcode32	barcode03_contig_1_Unknown_1_96|299063-299094
barcode51	barcode03_contig_1_Unknown_1_96|299063-299094
barcode65	barcode03_contig_1_Unknown_1_96|299063-299094
barcode89	barcode03_contig_1_Unknown_1_96|299063-299094
barcode58	barcode58_contig_1_Unknown_1_30|296346-296377
barcode01	barcode01_contig_1_Unknown_1_46|4599057-4599088
barcode56	barcode01_contig_1_Unknown_1_46|4599057-4599088
barcode83	barcode01_contig_1_Unknown_1_46|4599057-4599088
barcode14	barcode81_contig_1_Unknown_2_13|302827-302858
barcode44	barcode81_contig_1_Unknown_2_13|302827-302858
barcode49	barcode81_contig_1_Unknown_2_13|302827-302858
barcode57	barcode81_contig_1_Unknown_2_13|302827-302858
barcode62	barcode81_contig_1_Unknown_2_13|302827-302858
barcode81	barcode81_contig_1_Unknown_2_13|302827-302858
barcode96	barcode81_contig_1_Unknown_2_13|302827-302858
barcode31	barcode37_contig_1_Unknown_1_134|295052-295083
barcode37	barcode37_contig_1_Unknown_1_134|295052-295083
barcode53	barcode37_contig_1_Unknown_1_134|295052-295083
barcode03	barcode03_contig_1_Unknown_1_40|295700-295731
barcode32	barcode03_contig_1_Unknown_1_40|295700-295731
barcode51	barcode03_contig_1_Unknown_1_40|295700-295731
barcode65	barcode03_contig_1_Unknown_1_40|295700-295731
barcode89	barcode03_contig_1_Unknown_1_40|295700-295731
barcode02	barcode36_contig_1_Unknown_1_26|286764-286795
barcode14	barcode36_contig_1_Unknown_1_26|286764-286795
barcode31	barcode36_contig_1_Unknown_1_26|286764-286795
barcode36	barcode36_contig_1_Unknown_1_26|286764-286795
barcode37	barcode36_contig_1_Unknown_1_26|286764-286795
barcode44	barcode36_contig_1_Unknown_1_26|286764-286795
barcode49	barcode36_contig_1_Unknown_1_26|286764-286795
barcode53	barcode36_contig_1_Unknown_1_26|286764-286795
barcode57	barcode36_contig_1_Unknown_1_26|286764-286795
barcode62	barcode36_contig_1_Unknown_1_26|286764-286795
barcode63	barcode36_contig_1_Unknown_1_26|286764-286795
barcode64	barcode36_contig_1_Unknown_1_26|286764-286795
barcode70	barcode36_contig_1_Unknown_1_26|286764-286795
barcode81	barcode36_contig_1_Unknown_1_26|286764-286795
barcode93	barcode36_contig_1_Unknown_1_26|286764-286795
barcode96	barcode36_contig_1_Unknown_1_26|286764-286795
barcode58	barcode58_contig_1_Unknown_1_23|295926-295957
barcode41	barcode59_contig_1_Unknown_1_26|292185-292216
barcode59	barcode59_contig_1_Unknown_1_26|292185-292216
barcode60	barcode59_contig_1_Unknown_1_26|292185-292216
barcode45	barcode61_contig_1_Unknown_1_65|298396-298426
barcode61	barcode61_contig_1_Unknown_1_65|298396-298426
barcode14	barcode61_contig_1_Unknown_1_29|296236-296267
barcode31	barcode61_contig_1_Unknown_1_29|296236-296267
barcode37	barcode61_contig_1_Unknown_1_29|296236-296267
barcode44	barcode61_contig_1_Unknown_1_29|296236-296267
barcode45	barcode61_contig_1_Unknown_1_29|296236-296267
barcode49	barcode61_contig_1_Unknown_1_29|296236-296267
barcode53	barcode61_contig_1_Unknown_1_29|296236-296267
barcode57	barcode61_contig_1_Unknown_1_29|296236-296267
barcode61	barcode61_contig_1_Unknown_1_29|296236-296267
barcode62	barcode61_contig_1_Unknown_1_29|296236-296267
barcode64	barcode61_contig_1_Unknown_1_29|296236-296267
barcode81	barcode61_contig_1_Unknown_1_29|296236-296267
barcode93	barcode61_contig_1_Unknown_1_29|296236-296267
barcode96	barcode61_contig_1_Unknown_1_29|296236-296267
barcode48	barcode48_contig_3_Unknown_1_25|293755-293786
barcode52	barcode52_contig_1_Unknown_1_61|294898-294929
barcode14	barcode61_contig_1_Unknown_1_31|296356-296387
barcode31	barcode61_contig_1_Unknown_1_31|296356-296387
barcode37	barcode61_contig_1_Unknown_1_31|296356-296387
barcode44	barcode61_contig_1_Unknown_1_31|296356-296387
barcode45	barcode61_contig_1_Unknown_1_31|296356-296387
barcode49	barcode61_contig_1_Unknown_1_31|296356-296387
barcode53	barcode61_contig_1_Unknown_1_31|296356-296387
barcode57	barcode61_contig_1_Unknown_1_31|296356-296387
barcode61	barcode61_contig_1_Unknown_1_31|296356-296387
barcode62	barcode61_contig_1_Unknown_1_31|296356-296387
barcode64	barcode61_contig_1_Unknown_1_31|296356-296387
barcode81	barcode61_contig_1_Unknown_1_31|296356-296387
barcode93	barcode61_contig_1_Unknown_1_31|296356-296387
barcode96	barcode61_contig_1_Unknown_1_31|296356-296387
barcode14	barcode81_contig_1_Unknown_2_17|303067-303099
barcode44	barcode81_contig_1_Unknown_2_17|303067-303099
barcode49	barcode81_contig_1_Unknown_2_17|303067-303099
barcode57	barcode81_contig_1_Unknown_2_17|303067-303099
barcode62	barcode81_contig_1_Unknown_2_17|303067-303099
barcode81	barcode81_contig_1_Unknown_2_17|303067-303099
barcode96	barcode81_contig_1_Unknown_2_17|303067-303099
barcode48	barcode48_contig_3_Unknown_1_7|292675-292706
barcode69	barcode48_contig_3_Unknown_1_7|292675-292706
barcode01	barcode01_contig_1_Unknown_1_88|4601578-4601609
barcode56	barcode01_contig_1_Unknown_1_88|4601578-4601609
barcode83	barcode01_contig_1_Unknown_1_88|4601578-4601609
barcode43	barcode43_contig_1_Unknown_1_73|301027-301058
barcode54	barcode43_contig_1_Unknown_1_73|301027-301058
barcode91	barcode43_contig_1_Unknown_1_73|301027-301058
barcode95	barcode43_contig_1_Unknown_1_73|301027-301058
barcode01	barcode01_contig_1_Unknown_1_72|4600618-4600649
barcode56	barcode01_contig_1_Unknown_1_72|4600618-4600649
barcode83	barcode01_contig_1_Unknown_1_72|4600618-4600649
barcode03	barcode03_contig_1_Unknown_1_74|297743-297774
barcode32	barcode03_contig_1_Unknown_1_74|297743-297774
barcode51	barcode03_contig_1_Unknown_1_74|297743-297774
barcode65	barcode03_contig_1_Unknown_1_74|297743-297774
barcode89	barcode03_contig_1_Unknown_1_74|297743-297774
barcode14	barcode52_contig_1_Unknown_1_38|293518-293549
barcode31	barcode52_contig_1_Unknown_1_38|293518-293549
barcode37	barcode52_contig_1_Unknown_1_38|293518-293549
barcode44	barcode52_contig_1_Unknown_1_38|293518-293549
barcode45	barcode52_contig_1_Unknown_1_38|293518-293549
barcode49	barcode52_contig_1_Unknown_1_38|293518-293549
barcode52	barcode52_contig_1_Unknown_1_38|293518-293549
barcode53	barcode52_contig_1_Unknown_1_38|293518-293549
barcode57	barcode52_contig_1_Unknown_1_38|293518-293549
barcode62	barcode52_contig_1_Unknown_1_38|293518-293549
barcode64	barcode52_contig_1_Unknown_1_38|293518-293549
barcode81	barcode52_contig_1_Unknown_1_38|293518-293549
barcode93	barcode52_contig_1_Unknown_1_38|293518-293549
barcode96	barcode52_contig_1_Unknown_1_38|293518-293549
barcode31	barcode64_contig_1_Unknown_1_117|293849-293880
barcode31	barcode64_contig_1_Unknown_1_117|293849-293880
barcode37	barcode64_contig_1_Unknown_1_117|293849-293880
barcode37	barcode64_contig_1_Unknown_1_117|293849-293880
barcode53	barcode64_contig_1_Unknown_1_117|293849-293880
barcode53	barcode64_contig_1_Unknown_1_117|293849-293880
barcode64	barcode64_contig_1_Unknown_1_117|293849-293880
barcode64	barcode64_contig_1_Unknown_1_117|293849-293880
barcode83	barcode83_contig_1_Unknown_1_53|4568408-4568439
barcode01	barcode01_contig_1_Unknown_1_7|4596718-4596749
barcode56	barcode01_contig_1_Unknown_1_7|4596718-4596749
barcode83	barcode01_contig_1_Unknown_1_7|4596718-4596749
barcode83	barcode83_contig_1_Unknown_1_13|4566008-4566039
barcode01	barcode01_contig_1_Unknown_1_85|4601398-4601429
barcode56	barcode01_contig_1_Unknown_1_85|4601398-4601429
barcode83	barcode01_contig_1_Unknown_1_85|4601398-4601429
barcode15	barcode15_contig_1_Unknown_1_23|298733-298764
barcode41	barcode59_contig_1_Unknown_1_28|292305-292336
barcode59	barcode59_contig_1_Unknown_1_28|292305-292336
barcode60	barcode59_contig_1_Unknown_1_28|292305-292336
barcode01	barcode01_contig_1_Unknown_1_58|4599777-4599808
barcode56	barcode01_contig_1_Unknown_1_58|4599777-4599808
barcode83	barcode01_contig_1_Unknown_1_58|4599777-4599808
barcode46	barcode46_contig_1_Unknown_1_60|295911-295942
barcode47	barcode46_contig_1_Unknown_1_60|295911-295942
barcode01	barcode01_contig_1_Unknown_1_43|4598878-4598909
barcode56	barcode01_contig_1_Unknown_1_43|4598878-4598909
barcode83	barcode01_contig_1_Unknown_1_43|4598878-4598909
barcode45	barcode61_contig_1_Unknown_1_46|297256-297287
barcode61	barcode61_contig_1_Unknown_1_46|297256-297287
barcode15	barcode15_contig_1_Unknown_1_8|297834-297865
barcode41	barcode15_contig_1_Unknown_1_8|297834-297865
barcode59	barcode15_contig_1_Unknown_1_8|297834-297865
barcode60	barcode15_contig_1_Unknown_1_8|297834-297865
barcode14	barcode81_contig_1_Unknown_2_3|302227-302258
barcode31	barcode81_contig_1_Unknown_2_3|302227-302258
barcode37	barcode81_contig_1_Unknown_2_3|302227-302258
barcode44	barcode81_contig_1_Unknown_2_3|302227-302258
barcode49	barcode81_contig_1_Unknown_2_3|302227-302258
barcode53	barcode81_contig_1_Unknown_2_3|302227-302258
barcode57	barcode81_contig_1_Unknown_2_3|302227-302258
barcode62	barcode81_contig_1_Unknown_2_3|302227-302258
barcode64	barcode81_contig_1_Unknown_2_3|302227-302258
barcode81	barcode81_contig_1_Unknown_2_3|302227-302258
barcode96	barcode81_contig_1_Unknown_2_3|302227-302258
barcode02	barcode02_contig_1_Unknown_1_53|300894-300925
barcode63	barcode02_contig_1_Unknown_1_53|300894-300925
barcode70	barcode02_contig_1_Unknown_1_53|300894-300925
barcode31	barcode64_contig_1_Unknown_1_144|295470-295501
barcode37	barcode64_contig_1_Unknown_1_144|295470-295501
barcode53	barcode64_contig_1_Unknown_1_144|295470-295501
barcode64	barcode64_contig_1_Unknown_1_144|295470-295501
barcode14	barcode93_contig_2_Unknown_2_2|307295-307326
barcode31	barcode93_contig_2_Unknown_2_2|307295-307326
barcode37	barcode93_contig_2_Unknown_2_2|307295-307326
barcode44	barcode93_contig_2_Unknown_2_2|307295-307326
barcode49	barcode93_contig_2_Unknown_2_2|307295-307326
barcode53	barcode93_contig_2_Unknown_2_2|307295-307326
barcode57	barcode93_contig_2_Unknown_2_2|307295-307326
barcode62	barcode93_contig_2_Unknown_2_2|307295-307326
barcode64	barcode93_contig_2_Unknown_2_2|307295-307326
barcode81	barcode93_contig_2_Unknown_2_2|307295-307326
barcode93	barcode93_contig_2_Unknown_2_2|307295-307326
barcode96	barcode93_contig_2_Unknown_2_2|307295-307326
barcode43	barcode43_contig_1_Unknown_1_59|300187-300218
barcode54	barcode43_contig_1_Unknown_1_59|300187-300218
barcode91	barcode43_contig_1_Unknown_1_59|300187-300218
barcode95	barcode43_contig_1_Unknown_1_59|300187-300218
barcode01	barcode01_contig_1_Unknown_1_19|4597438-4597469
barcode56	barcode01_contig_1_Unknown_1_19|4597438-4597469
barcode83	barcode01_contig_1_Unknown_1_19|4597438-4597469
barcode58	barcode58_contig_1_Unknown_1_60|298147-298178
barcode01	barcode01_contig_1_Unknown_1_32|4598218-4598249
barcode56	barcode01_contig_1_Unknown_1_32|4598218-4598249
barcode83	barcode01_contig_1_Unknown_1_32|4598218-4598249
barcode58	barcode58_contig_1_Unknown_1_49|297486-297517
barcode02	barcode02_contig_1_Unknown_1_50|300714-300745
barcode63	barcode02_contig_1_Unknown_1_50|300714-300745
barcode70	barcode02_contig_1_Unknown_1_50|300714-300745
barcode03	barcode03_contig_1_Unknown_1_12|294020-294051
barcode32	barcode03_contig_1_Unknown_1_12|294020-294051
barcode51	barcode03_contig_1_Unknown_1_12|294020-294051
barcode65	barcode03_contig_1_Unknown_1_12|294020-294051
barcode89	barcode03_contig_1_Unknown_1_12|294020-294051
barcode01	barcode01_contig_1_Unknown_1_57|4599717-4599748
barcode56	barcode01_contig_1_Unknown_1_57|4599717-4599748
barcode83	barcode01_contig_1_Unknown_1_57|4599717-4599748
barcode01	barcode01_contig_1_Unknown_1_2|4596418-4596449
barcode56	barcode01_contig_1_Unknown_1_2|4596418-4596449
barcode83	barcode01_contig_1_Unknown_1_2|4596418-4596449
barcode01	barcode01_contig_1_Unknown_1_68|4600378-4600409
barcode56	barcode01_contig_1_Unknown_1_68|4600378-4600409
barcode83	barcode01_contig_1_Unknown_1_68|4600378-4600409
barcode01	barcode01_contig_1_Unknown_1_87|4601518-4601549
barcode56	barcode01_contig_1_Unknown_1_87|4601518-4601549
barcode83	barcode01_contig_1_Unknown_1_87|4601518-4601549
barcode02	barcode36_contig_1_Unknown_1_21|286464-286495
barcode36	barcode36_contig_1_Unknown_1_21|286464-286495
barcode43	barcode36_contig_1_Unknown_1_21|286464-286495
barcode54	barcode36_contig_1_Unknown_1_21|286464-286495
barcode63	barcode36_contig_1_Unknown_1_21|286464-286495
barcode70	barcode36_contig_1_Unknown_1_21|286464-286495
barcode91	barcode36_contig_1_Unknown_1_21|286464-286495
barcode95	barcode36_contig_1_Unknown_1_21|286464-286495
barcode45	barcode45_contig_1_Unknown_1_101|296322-296353
barcode83	barcode83_contig_1_Unknown_1_6|4565588-4565619
barcode14	barcode45_contig_1_Unknown_1_44|292903-292934
barcode31	barcode45_contig_1_Unknown_1_44|292903-292934
barcode37	barcode45_contig_1_Unknown_1_44|292903-292934
barcode44	barcode45_contig_1_Unknown_1_44|292903-292934
barcode45	barcode45_contig_1_Unknown_1_44|292903-292934
barcode49	barcode45_contig_1_Unknown_1_44|292903-292934
barcode53	barcode45_contig_1_Unknown_1_44|292903-292934
barcode57	barcode45_contig_1_Unknown_1_44|292903-292934
barcode62	barcode45_contig_1_Unknown_1_44|292903-292934
barcode64	barcode45_contig_1_Unknown_1_44|292903-292934
barcode81	barcode45_contig_1_Unknown_1_44|292903-292934
barcode93	barcode45_contig_1_Unknown_1_44|292903-292934
barcode96	barcode45_contig_1_Unknown_1_44|292903-292934
barcode01	barcode01_contig_1_Unknown_1_39|4598638-4598669
barcode56	barcode01_contig_1_Unknown_1_39|4598638-4598669
barcode83	barcode01_contig_1_Unknown_1_39|4598638-4598669
barcode02	barcode02_contig_1_Unknown_1_54|300954-300985
barcode63	barcode02_contig_1_Unknown_1_54|300954-300985
barcode70	barcode02_contig_1_Unknown_1_54|300954-300985
barcode01	barcode01_contig_1_Unknown_1_83|4601278-4601309
barcode56	barcode01_contig_1_Unknown_1_83|4601278-4601309
barcode01	barcode01_contig_1_Unknown_1_31|4598158-4598189
barcode56	barcode01_contig_1_Unknown_1_31|4598158-4598189
barcode01	barcode01_contig_1_Unknown_1_4|4596538-4596569
barcode56	barcode01_contig_1_Unknown_1_4|4596538-4596569
barcode83	barcode01_contig_1_Unknown_1_4|4596538-4596569
barcode14	barcode81_contig_1_Unknown_2_20|303248-303279
barcode44	barcode81_contig_1_Unknown_2_20|303248-303279
barcode49	barcode81_contig_1_Unknown_2_20|303248-303279
